date,business_owner,revenue,expense_category,expense_amount,total_expenses,profit,business_trend_%,index
2023-11,Tammy Mccarthy,12828.63,Rent,4005.02,10146.46,2682.17,-30.56,82
2023-11,Tammy Mccarthy,12828.63,Utilities,482.26,10146.46,2682.17,-30.56,83
2023-11,Tammy Mccarthy,12828.63,Supplies,888.51,10146.46,2682.17,-30.56,84
2023-11,Tammy Mccarthy,12828.63,Travel,2369.36,10146.46,2682.17,-30.56,85
2023-11,Tammy Mccarthy,12828.63,Maintenance,436.96,10146.46,2682.17,-30.56,86
2023-11,Tammy Mccarthy,12828.63,Miscellaneous,134.73,10146.46,2682.17,-30.56,87
2023-12,Tammy Mccarthy,36077.63,Marketing,5089.92,23391.52,12686.11,372.98,88
2023-12,Tammy Mccarthy,36077.63,Salaries,3164.99,23391.52,12686.11,372.98,89
2023-12,Tammy Mccarthy,36077.63,Rent,1923.84,23391.52,12686.11,372.98,90
2023-12,Tammy Mccarthy,36077.63,Utilities,3933.06,23391.52,12686.11,372.98,91
2023-12,Tammy Mccarthy,36077.63,Supplies,3121.05,23391.52,12686.11,372.98,92
2023-12,Tammy Mccarthy,36077.63,Travel,395.88,23391.52,12686.11,372.98,93
2023-12,Tammy Mccarthy,36077.63,Maintenance,4276.79,23391.52,12686.11,372.98,94
2023-12,Tammy Mccarthy,36077.63,Miscellaneous,1485.98,23391.52,12686.11,372.98,95
2023-01,Frank Williams,82669.61,Marketing,4812.57,71825.62,10843.99,0.0,96
2023-01,Frank Williams,82669.61,Salaries,1466.07,71825.62,10843.99,0.0,97
2023-01,Frank Williams,82669.61,Rent,3252.81,71825.62,10843.99,0.0,98
2023-01,Frank Williams,82669.61,Utilities,7004.61,71825.62,10843.99,0.0,99
2023-01,Frank Williams,82669.61,Supplies,21424.48,71825.62,10843.99,0.0,100
2023-01,Frank Williams,82669.61,Travel,24788.29,71825.62,10843.99,0.0,101
2023-01,Frank Williams,82669.61,Maintenance,87.72,71825.62,10843.99,0.0,102
2023-01,Frank Williams,82669.61,Miscellaneous,8989.07,71825.62,10843.99,0.0,103
2023-02,Frank Williams,47566.99,Marketing,414.89,31709.69,15857.3,46.23,104
2023-02,Frank Williams,47566.99,Salaries,1338.49,31709.69,15857.3,46.23,105
2023-02,Frank Williams,47566.99,Rent,9303.64,31709.69,15857.3,46.23,106
2023-02,Frank Williams,47566.99,Utilities,1268.54,31709.69,15857.3,46.23,107
2023-02,Frank Williams,47566.99,Supplies,2376.84,31709.69,15857.3,46.23,108
2023-02,Frank Williams,47566.99,Travel,3945.14,31709.69,15857.3,46.23,109
2023-02,Frank Williams,47566.99,Maintenance,1468.68,31709.69,15857.3,46.23,110
2023-02,Frank Williams,47566.99,Miscellaneous,11593.47,31709.69,15857.3,46.23,111
2023-03,Frank Williams,96620.26,Marketing,13059.32,65270.33,31349.92,97.7,112
2023-03,Frank Williams,96620.26,Salaries,6797.45,65270.33,31349.92,97.7,113
2023-03,Frank Williams,96620.26,Rent,6366.72,65270.33,31349.92,97.7,114
2023-03,Frank Williams,96620.26,Utilities,713.77,65270.33,31349.92,97.7,115
2023-03,Frank Williams,96620.26,Supplies,17860.87,65270.33,31349.92,97.7,116
2023-03,Frank Williams,96620.26,Travel,13265.57,65270.33,31349.92,97.7,117
2023-03,Frank Williams,96620.26,Maintenance,1003.69,65270.33,31349.92,97.7,118
2023-03,Frank Williams,96620.26,Miscellaneous,6202.95,65270.33,31349.92,97.7,119
2023-04,Frank Williams,91743.93,Marketing,1018.52,61639.86,30104.07,-3.97,120
2023-04,Frank Williams,91743.93,Salaries,4374.36,61639.86,30104.07,-3.97,121
2023-04,Frank Williams,91743.93,Rent,27615.2,61639.86,30104.07,-3.97,122
2023-04,Frank Williams,91743.93,Utilities,1803.33,61639.86,30104.07,-3.97,123
2023-04,Frank Williams,91743.93,Supplies,7256.12,61639.86,30104.07,-3.97,124
2023-04,Frank Williams,91743.93,Travel,9330.06,61639.86,30104.07,-3.97,125
2023-04,Frank Williams,91743.93,Maintenance,1765.52,61639.86,30104.07,-3.97,126
2023-04,Frank Williams,91743.93,Miscellaneous,8476.76,61639.86,30104.07,-3.97,127
2023-05,Frank Williams,43100.48,Marketing,6572.86,34036.09,9064.39,-69.89,128
2023-05,Frank Williams,43100.48,Salaries,5024.64,34036.09,9064.39,-69.89,129
2023-05,Frank Williams,43100.48,Rent,619.61,34036.09,9064.39,-69.89,130
2023-05,Frank Williams,43100.48,Utilities,11809.79,34036.09,9064.39,-69.89,131
2023-05,Frank Williams,43100.48,Supplies,2532.73,34036.09,9064.39,-69.89,132
2023-05,Frank Williams,43100.48,Travel,1351.66,34036.09,9064.39,-69.89,133
2023-05,Frank Williams,43100.48,Maintenance,272.58,34036.09,9064.39,-69.89,134
2023-05,Frank Williams,43100.48,Miscellaneous,5852.22,34036.09,9064.39,-69.89,135
2023-06,Frank Williams,70980.79,Marketing,4549.44,42941.7,28039.09,209.33,136
2023-06,Frank Williams,70980.79,Salaries,1628.14,42941.7,28039.09,209.33,137
2023-06,Frank Williams,70980.79,Rent,6568.54,42941.7,28039.09,209.33,138
2023-06,Frank Williams,70980.79,Utilities,1214.68,42941.7,28039.09,209.33,139
2023-06,Frank Williams,70980.79,Supplies,7443.95,42941.7,28039.09,209.33,140
2023-06,Frank Williams,70980.79,Travel,3099.77,42941.7,28039.09,209.33,141
2023-06,Frank Williams,70980.79,Maintenance,17499.28,42941.7,28039.09,209.33,142
2023-06,Frank Williams,70980.79,Miscellaneous,937.9,42941.7,28039.09,209.33,143
2023-07,Frank Williams,40695.97,Marketing,6949.46,25802.96,14893.01,-46.88,144
2023-07,Frank Williams,40695.97,Salaries,5638.52,25802.96,14893.01,-46.88,145
2023-07,Frank Williams,40695.97,Rent,801.65,25802.96,14893.01,-46.88,146
2023-07,Frank Williams,40695.97,Utilities,2898.79,25802.96,14893.01,-46.88,147
2023-07,Frank Williams,40695.97,Supplies,4566.75,25802.96,14893.01,-46.88,148
2023-07,Frank Williams,40695.97,Travel,2176.94,25802.96,14893.01,-46.88,149
2023-07,Frank Williams,40695.97,Maintenance,2026.85,25802.96,14893.01,-46.88,150
2023-07,Frank Williams,40695.97,Miscellaneous,744.01,25802.96,14893.01,-46.88,151
2023-08,Frank Williams,18379.25,Marketing,3227.82,15974.6,2404.65,-83.85,152
2023-08,Frank Williams,18379.25,Salaries,1403.01,15974.6,2404.65,-83.85,153
2023-08,Frank Williams,18379.25,Rent,579.37,15974.6,2404.65,-83.85,154
2023-08,Frank Williams,18379.25,Utilities,601.08,15974.6,2404.65,-83.85,155
2023-08,Frank Williams,18379.25,Supplies,1811.32,15974.6,2404.65,-83.85,156
2023-08,Frank Williams,18379.25,Travel,3182.09,15974.6,2404.65,-83.85,157
2023-08,Frank Williams,18379.25,Maintenance,3052.01,15974.6,2404.65,-83.85,158
2023-08,Frank Williams,18379.25,Miscellaneous,2117.89,15974.6,2404.65,-83.85,159
2023-09,Frank Williams,67782.85,Marketing,1562.15,42380.68,25402.17,956.38,160
2023-09,Frank Williams,67782.85,Salaries,20276.12,42380.68,25402.17,956.38,161
2023-09,Frank Williams,67782.85,Rent,8262.87,42380.68,25402.17,956.38,162
2023-09,Frank Williams,67782.85,Utilities,81.87,42380.68,25402.17,956.38,163
2023-09,Frank Williams,67782.85,Supplies,948.1,42380.68,25402.17,956.38,164
2023-09,Frank Williams,67782.85,Travel,9651.12,42380.68,25402.17,956.38,165
2023-09,Frank Williams,67782.85,Maintenance,44.96,42380.68,25402.17,956.38,166
2023-09,Frank Williams,67782.85,Miscellaneous,1553.48,42380.68,25402.17,956.38,167
2023-10,Frank Williams,59386.04,Marketing,6719.97,47958.3,11427.74,-55.01,168
2023-10,Frank Williams,59386.04,Salaries,1616.89,47958.3,11427.74,-55.01,169
2023-10,Frank Williams,59386.04,Rent,7929.54,47958.3,11427.74,-55.01,170
2023-10,Frank Williams,59386.04,Utilities,1724.33,47958.3,11427.74,-55.01,171
2023-10,Frank Williams,59386.04,Supplies,2506.26,47958.3,11427.74,-55.01,172
2023-10,Frank Williams,59386.04,Travel,8737.76,47958.3,11427.74,-55.01,173
2023-10,Frank Williams,59386.04,Maintenance,6677.51,47958.3,11427.74,-55.01,174
2023-10,Frank Williams,59386.04,Miscellaneous,12046.03,47958.3,11427.74,-55.01,175
2023-11,Frank Williams,69185.16,Marketing,618.31,53306.65,15878.51,38.95,176
2023-11,Frank Williams,69185.16,Salaries,2881.77,53306.65,15878.51,38.95,177
2023-11,Frank Williams,69185.16,Rent,1937.21,53306.65,15878.51,38.95,178
2023-11,Frank Williams,69185.16,Utilities,1758.3,53306.65,15878.51,38.95,179
2023-11,Frank Williams,69185.16,Supplies,22708.31,53306.65,15878.51,38.95,180
2023-11,Frank Williams,69185.16,Travel,3139.33,53306.65,15878.51,38.95,181
2023-11,Frank Williams,69185.16,Maintenance,13993.81,53306.65,15878.51,38.95,182
2023-11,Frank Williams,69185.16,Miscellaneous,6269.61,53306.65,15878.51,38.95,183
2023-12,Frank Williams,81533.02,Marketing,11388.25,61214.27,20318.75,27.96,184
2023-12,Frank Williams,81533.02,Salaries,8980.43,61214.27,20318.75,27.96,185
2023-12,Frank Williams,81533.02,Rent,2875.87,61214.27,20318.75,27.96,186
2023-12,Frank Williams,81533.02,Utilities,16970.2,61214.27,20318.75,27.96,187
2023-12,Frank Williams,81533.02,Supplies,4363.52,61214.27,20318.75,27.96,188
2023-12,Frank Williams,81533.02,Travel,325.92,61214.27,20318.75,27.96,189
2023-12,Frank Williams,81533.02,Maintenance,13729.2,61214.27,20318.75,27.96,190
2023-12,Frank Williams,81533.02,Miscellaneous,2580.87,61214.27,20318.75,27.96,191
2023-01,Edwin Schultz,94641.27,Marketing,13990.73,83869.07,10772.2,0.0,192
2023-01,Edwin Schultz,94641.27,Salaries,2625.42,83869.07,10772.2,0.0,193
2023-01,Edwin Schultz,94641.27,Rent,88.47,83869.07,10772.2,0.0,194
2023-01,Edwin Schultz,94641.27,Utilities,14967.62,83869.07,10772.2,0.0,195
2023-01,Edwin Schultz,94641.27,Supplies,3174.31,83869.07,10772.2,0.0,196
2023-01,Edwin Schultz,94641.27,Travel,19314.01,83869.07,10772.2,0.0,197
2023-01,Edwin Schultz,94641.27,Maintenance,18819.32,83869.07,10772.2,0.0,198
2023-01,Edwin Schultz,94641.27,Miscellaneous,10889.19,83869.07,10772.2,0.0,199
2023-02,Edwin Schultz,36500.4,Marketing,6086.03,26117.11,10383.29,-3.61,200
2023-02,Edwin Schultz,36500.4,Salaries,1217.85,26117.11,10383.29,-3.61,201
2023-02,Edwin Schultz,36500.4,Rent,593.41,26117.11,10383.29,-3.61,202
2023-02,Edwin Schultz,36500.4,Utilities,2600.07,26117.11,10383.29,-3.61,203
2023-02,Edwin Schultz,36500.4,Supplies,8791.01,26117.11,10383.29,-3.61,204
2023-02,Edwin Schultz,36500.4,Travel,3804.96,26117.11,10383.29,-3.61,205
2023-02,Edwin Schultz,36500.4,Maintenance,2697.13,26117.11,10383.29,-3.61,206
2023-02,Edwin Schultz,36500.4,Miscellaneous,326.64,26117.11,10383.29,-3.61,207
2023-03,Edwin Schultz,65350.65,Marketing,1174.99,58620.59,6730.06,-35.18,208
2023-03,Edwin Schultz,65350.65,Salaries,5687.26,58620.59,6730.06,-35.18,209
2023-03,Edwin Schultz,65350.65,Rent,16338.68,58620.59,6730.06,-35.18,210
2023-03,Edwin Schultz,65350.65,Utilities,10510.67,58620.59,6730.06,-35.18,211
2023-03,Edwin Schultz,65350.65,Supplies,9296.44,58620.59,6730.06,-35.18,212
2023-03,Edwin Schultz,65350.65,Travel,9438.24,58620.59,6730.06,-35.18,213
2023-03,Edwin Schultz,65350.65,Maintenance,3468.37,58620.59,6730.06,-35.18,214
2023-03,Edwin Schultz,65350.65,Miscellaneous,2705.94,58620.59,6730.06,-35.18,215
2023-04,Edwin Schultz,82842.5,Marketing,12444.65,69839.05,13003.45,93.21,216
2023-04,Edwin Schultz,82842.5,Salaries,15075.89,69839.05,13003.45,93.21,217
2023-04,Edwin Schultz,82842.5,Rent,4416.13,69839.05,13003.45,93.21,218
2023-04,Edwin Schultz,82842.5,Utilities,4293.35,69839.05,13003.45,93.21,219
2023-04,Edwin Schultz,82842.5,Supplies,9873.02,69839.05,13003.45,93.21,220
2023-04,Edwin Schultz,82842.5,Travel,6473.59,69839.05,13003.45,93.21,221
2023-04,Edwin Schultz,82842.5,Maintenance,7465.44,69839.05,13003.45,93.21,222
2023-04,Edwin Schultz,82842.5,Miscellaneous,9796.98,69839.05,13003.45,93.21,223
2023-05,Edwin Schultz,90100.48,Marketing,7241.56,63196.35,26904.13,106.9,224
2023-05,Edwin Schultz,90100.48,Salaries,1517.64,63196.35,26904.13,106.9,225
2023-05,Edwin Schultz,90100.48,Rent,13276.66,63196.35,26904.13,106.9,226
2023-05,Edwin Schultz,90100.48,Utilities,562.86,63196.35,26904.13,106.9,227
2023-05,Edwin Schultz,90100.48,Supplies,9635.29,63196.35,26904.13,106.9,228
2023-05,Edwin Schultz,90100.48,Travel,12029.29,63196.35,26904.13,106.9,229
2023-05,Edwin Schultz,90100.48,Maintenance,5191.72,63196.35,26904.13,106.9,230
2023-05,Edwin Schultz,90100.48,Miscellaneous,13741.32,63196.35,26904.13,106.9,231
2023-06,Edwin Schultz,12745.02,Marketing,2311.61,7789.81,4955.21,-81.58,232
2023-06,Edwin Schultz,12745.02,Salaries,596.95,7789.81,4955.21,-81.58,233
2023-06,Edwin Schultz,12745.02,Rent,181.64,7789.81,4955.21,-81.58,234
2023-06,Edwin Schultz,12745.02,Utilities,987.35,7789.81,4955.21,-81.58,235
2023-06,Edwin Schultz,12745.02,Supplies,1964.47,7789.81,4955.21,-81.58,236
2023-06,Edwin Schultz,12745.02,Travel,324.97,7789.81,4955.21,-81.58,237
2023-06,Edwin Schultz,12745.02,Maintenance,1303.57,7789.81,4955.21,-81.58,238
2023-06,Edwin Schultz,12745.02,Miscellaneous,119.25,7789.81,4955.21,-81.58,239
2023-07,Edwin Schultz,14651.35,Marketing,880.61,11126.33,3525.02,-28.86,240
2023-07,Edwin Schultz,14651.35,Salaries,1148.47,11126.33,3525.02,-28.86,241
2023-07,Edwin Schultz,14651.35,Rent,1465.92,11126.33,3525.02,-28.86,242
2023-07,Edwin Schultz,14651.35,Utilities,4215.12,11126.33,3525.02,-28.86,243
2023-07,Edwin Schultz,14651.35,Supplies,822.17,11126.33,3525.02,-28.86,244
2023-07,Edwin Schultz,14651.35,Travel,441.51,11126.33,3525.02,-28.86,245
2023-07,Edwin Schultz,14651.35,Maintenance,1794.98,11126.33,3525.02,-28.86,246
2023-07,Edwin Schultz,14651.35,Miscellaneous,357.55,11126.33,3525.02,-28.86,247
2023-08,Edwin Schultz,49507.43,Marketing,105.89,30869.71,18637.72,428.73,248
2023-08,Edwin Schultz,49507.43,Salaries,13556.47,30869.71,18637.72,428.73,249
2023-08,Edwin Schultz,49507.43,Rent,7454.85,30869.71,18637.72,428.73,250
2023-08,Edwin Schultz,49507.43,Utilities,4909.96,30869.71,18637.72,428.73,251
2023-08,Edwin Schultz,49507.43,Supplies,2168.53,30869.71,18637.72,428.73,252
2023-08,Edwin Schultz,49507.43,Travel,784.78,30869.71,18637.72,428.73,253
2023-08,Edwin Schultz,49507.43,Maintenance,701.54,30869.71,18637.72,428.73,254
2023-08,Edwin Schultz,49507.43,Miscellaneous,1187.68,30869.71,18637.72,428.73,255
2023-09,Edwin Schultz,59430.4,Marketing,6198.62,48398.86,11031.54,-40.81,256
2023-09,Edwin Schultz,59430.4,Salaries,1885.98,48398.86,11031.54,-40.81,257
2023-09,Edwin Schultz,59430.4,Rent,17791.5,48398.86,11031.54,-40.81,258
2023-09,Edwin Schultz,59430.4,Utilities,7689.58,48398.86,11031.54,-40.81,259
2023-09,Edwin Schultz,59430.4,Supplies,4641.43,48398.86,11031.54,-40.81,260
2023-09,Edwin Schultz,59430.4,Travel,5432.77,48398.86,11031.54,-40.81,261
2023-09,Edwin Schultz,59430.4,Maintenance,3124.25,48398.86,11031.54,-40.81,262
2023-09,Edwin Schultz,59430.4,Miscellaneous,1634.73,48398.86,11031.54,-40.81,263
2023-10,Edwin Schultz,42037.54,Marketing,122.31,34779.92,7257.62,-34.21,264
2023-10,Edwin Schultz,42037.54,Salaries,1040.85,34779.92,7257.62,-34.21,265
2023-10,Edwin Schultz,42037.54,Rent,397.29,34779.92,7257.62,-34.21,266
2023-10,Edwin Schultz,42037.54,Utilities,350.79,34779.92,7257.62,-34.21,267
2023-10,Edwin Schultz,42037.54,Supplies,16317.17,34779.92,7257.62,-34.21,268
2023-10,Edwin Schultz,42037.54,Travel,10260.35,34779.92,7257.62,-34.21,269
2023-10,Edwin Schultz,42037.54,Maintenance,5422.61,34779.92,7257.62,-34.21,270
2023-10,Edwin Schultz,42037.54,Miscellaneous,868.56,34779.92,7257.62,-34.21,271
2023-11,Edwin Schultz,54245.43,Marketing,1618.17,40252.36,13993.07,92.81,272
2023-11,Edwin Schultz,54245.43,Salaries,4840.17,40252.36,13993.07,92.81,273
2023-11,Edwin Schultz,54245.43,Rent,4324.91,40252.36,13993.07,92.81,274
2023-11,Edwin Schultz,54245.43,Utilities,8139.76,40252.36,13993.07,92.81,275
2023-11,Edwin Schultz,54245.43,Supplies,8577.0,40252.36,13993.07,92.81,276
2023-11,Edwin Schultz,54245.43,Travel,394.45,40252.36,13993.07,92.81,277
2023-11,Edwin Schultz,54245.43,Maintenance,3993.5,40252.36,13993.07,92.81,278
2023-11,Edwin Schultz,54245.43,Miscellaneous,8364.39,40252.36,13993.07,92.81,279
2023-12,Edwin Schultz,55282.26,Marketing,7341.55,47373.97,7908.3,-43.48,280
2023-12,Edwin Schultz,55282.26,Salaries,1214.65,47373.97,7908.3,-43.48,281
2023-12,Edwin Schultz,55282.26,Rent,499.8,47373.97,7908.3,-43.48,282
2023-12,Edwin Schultz,55282.26,Utilities,7023.43,47373.97,7908.3,-43.48,283
2023-12,Edwin Schultz,55282.26,Supplies,183.5,47373.97,7908.3,-43.48,284
2023-12,Edwin Schultz,55282.26,Travel,6019.17,47373.97,7908.3,-43.48,285
2023-12,Edwin Schultz,55282.26,Maintenance,19240.47,47373.97,7908.3,-43.48,286
2023-12,Edwin Schultz,55282.26,Miscellaneous,5851.4,47373.97,7908.3,-43.48,287
2023-01,Lawrence Taylor,44935.29,Marketing,2055.81,35633.08,9302.21,0.0,288
2023-01,Lawrence Taylor,44935.29,Salaries,2645.63,35633.08,9302.21,0.0,289
2023-01,Lawrence Taylor,44935.29,Rent,9518.88,35633.08,9302.21,0.0,290
2023-01,Lawrence Taylor,44935.29,Utilities,1636.48,35633.08,9302.21,0.0,291
2023-01,Lawrence Taylor,44935.29,Supplies,10897.23,35633.08,9302.21,0.0,292
2023-01,Lawrence Taylor,44935.29,Travel,7907.15,35633.08,9302.21,0.0,293
2023-01,Lawrence Taylor,44935.29,Maintenance,730.81,35633.08,9302.21,0.0,294
2023-01,Lawrence Taylor,44935.29,Miscellaneous,241.09,35633.08,9302.21,0.0,295
2023-02,Lawrence Taylor,19070.02,Marketing,204.22,11546.26,7523.76,-19.12,296
2023-02,Lawrence Taylor,19070.02,Salaries,2365.08,11546.26,7523.76,-19.12,297
2023-02,Lawrence Taylor,19070.02,Rent,152.03,11546.26,7523.76,-19.12,298
2023-02,Lawrence Taylor,19070.02,Utilities,790.83,11546.26,7523.76,-19.12,299
2023-02,Lawrence Taylor,19070.02,Supplies,3836.27,11546.26,7523.76,-19.12,300
2023-02,Lawrence Taylor,19070.02,Travel,48.47,11546.26,7523.76,-19.12,301
2023-02,Lawrence Taylor,19070.02,Maintenance,3467.79,11546.26,7523.76,-19.12,302
2023-02,Lawrence Taylor,19070.02,Miscellaneous,681.57,11546.26,7523.76,-19.12,303
2023-03,Lawrence Taylor,20634.83,Marketing,1722.97,16694.02,3940.82,-47.62,304
